Lookup ID,Age,Gender,Marital status,City,State,Country,Email,Class of,College,Degree,Enrolled Via,Enrollment Date,Total Donation Amount,Cumulative Lifetime Donation Years,Consecutive Years of Giving,If Donated
13924069,46,Male,Unknown,Marlton,New Jersey,United States,Yes,2022,1KM-Gies College of Business,MBA: Master of Business Admin,Main site,2022-10-31 00:00:00,0,0,0,0
11448488,75,Female,Divorced,Champaign,Illinois,United States,Yes,1982,1KN-Education,EDM: Masters in Education,No record,1900-01-01 00:00:00,0,0,0,0
14326617,0,Male,Unknown,Englewood,Colorado,United States,Yes,,,,Main site,2022-10-10 00:00:00,0,0,0,0
11488218,68,Male,Married,Olympia Fields,Illinois,United States,Yes,1979,2FT-Liberal Arts & Sciences,BA: Bachelor of Arts,Main site,2022-03-25 00:00:00,3650,11,3,1
10515758,81,Male,Single,Elgin,Illinois,United States,Yes,1964,1KM-Gies College of Business,BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
12030697,52,Male,Single,Arlington,Texas,United States,Yes,2002,1KM-Gies College of Business,MBA: Master of Business Administration,No record,1900-01-01 00:00:00,0,0,0,0
14262741,0,Male,Unknown,Reynoldsburg,Ohio,United States,Yes,,,,Main site,2022-06-23 00:00:00,0,0,0,0
10534472,92,Male,Married,Vero Beach,Florida,United States,Yes,,,,No record,1900-01-01 00:00:00,0,0,0,0
11732738,73,Male,Single,Las Vegas,Nevada,United States,Yes,1971,2FT-Liberal Arts & Sciences,BS: Bachelor of Science,Main site,2022-02-07 00:00:00,953.75,14,3,1
10941578,50,Male,Married,Savoy,Illinois,United States,Yes,2021,1KM-Gies College of Business,MS: Master of Science,Main site,2022-02-16 00:00:00,3419.5,7,5,1
10776396,35,Male,Married,Tampa,Florida,United States,Yes,2010,1KV-Liberal Arts & Sciences,BALAS: Bachelor of Arts in Liberal Arts & Sciences,Back to School '22,2022-08-24 00:00:00,0,0,0,0
14248273,0,Male,Unknown,Aliso Viejo,California,United States,Yes,,,,Main site,2022-04-02 00:00:00,0,0,0,0
11664850,67,Female,Married,North Las Vegas,Nevada,United States,Yes,1987,,BS: Bachelor of Science,Main site,2022-02-19 00:00:00,550,6,1,1
12038828,43,Female,Unknown,Des Plaines,Illinois,United States,Yes,2001,1KY-Applied Health Sciences,BS: Bachelor of Science,Main site,2022-09-14 00:00:00,0,0,0,0
11375757,79,Male,Single,Fort Myers,Florida,United States,Yes,,,,No record,1900-01-01 00:00:00,0,0,0,0
11712214,58,Male,Single,Suffolk,Virginia,United States,Yes,1986,"1KL-Agr, Consumer, & Env Sciences",BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
11366254,55,Female,Married,Urbana,Illinois,United States,Yes,1990,"1KL-Agr, Consumer, & Env Sciences",BS: Bachelor of Science,Main site,2022-03-18 00:00:00,49158,21,1,1
11745785,56,Female,Married,Round Rock,Texas,United States,Yes,1988,1KV-Liberal Arts & Sciences,BSLAS: Bachelor of Science Liberal Arts & Sciences,Main site,2022-03-13 00:00:00,18,1,1,1
11534664,67,Male,Married,Rockford,Illinois,United States,Yes,1977,1KM-Gies College of Business,BS: Bachelor of Science,Main site,2022-06-07 00:00:00,0,0,0,0
13755098,77,Male,Married,Thousand Oaks,California,United States,Yes,,,,Main site,2022-02-07 00:00:00,150,3,2,1
12065645,64,Male,Single,Lawrence,Kansas,United States,Yes,1981,1KV-Liberal Arts & Sciences,BSLAS: Bachelor of Science Liberal Arts & Sciences,No record,1900-01-01 00:00:00,0,0,0,0
11718719,52,Female,Married,Arlington Heights,Illinois,United States,Yes,1992,1KP-Grainger Engineering,BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
10859846,36,Female,Single,Champaign,Illinois,United States,Yes,2009,400-Springfield Campus (GENERIC),,Membership Event '22,2022-07-06 00:00:00,0,0,0,0
11627488,48,Male,Married,Orland Park,Illinois,United States,Yes,,,MS: Master of Science,Holiday Promo '22,2022-11-05 00:00:00,0,0,0,0
11494715,55,Female,Married,Spring,Texas,United States,Yes,1989,1KV-Liberal Arts & Sciences,BALAS: Bachelor of Arts in Liberal Arts & Sciences,Main site,2022-02-12 00:00:00,2363.75,4,3,1
11356034,56,Male,Unknown,Buffalo,New York,United States,Yes,1992,,BS: Bachelor of Science,Holiday Promo '22,2022-11-16 00:00:00,0,0,0,0
